"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @acpfonline: This is a wind up surely. To think a man that believes a child<U+2019>s fairytale like this ha any degree of influence is scary #i<U+2026>",FALSE,0,NA,2018-03-15 00:45:29,FALSE,NA,"974084134053216256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RasThaFarEye",1,TRUE,FALSE,NA,NA
"2","RT @esricanada: Discover details about the #royal #wedding for #PrinceHarry and #MeghanMarkle with this  @CTVNews #storymap: https://t.co/e<U+2026>",FALSE,0,NA,2018-03-15 00:36:09,FALSE,NA,"974081785217732608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EntertainMaps",2,TRUE,FALSE,NA,NA
"3","RT @chrisshipitv: While the Royal Family are paying for the costs of the #royalwedding service, flowers and food, @RepublicStaff say that t<U+2026>",FALSE,0,NA,2018-03-15 00:33:01,FALSE,NA,"974080996734832641",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","BritDemocracy",32,TRUE,FALSE,NA,NA
"4","There should be no taxpayer funding for the Royal Wedding. Sign the petition. #RoyalWedding https://t.co/SKUYU3INsP",FALSE,0,NA,2018-03-15 00:32:03,FALSE,NA,"974080751862992898",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ameegeeee",0,FALSE,FALSE,NA,NA
"5","Doing some homework for the #RoyalWedding?  Check out the history of Windsor Castle via @RegencyHistory! https://t.co/IDVPIGMK4n",FALSE,0,NA,2018-03-15 00:30:53,FALSE,NA,"974080459129880576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JaneAustenDance",0,FALSE,FALSE,NA,NA
"6","#AndForWhatItsWorth I<U+2019>m still available for the #PrinceHarry and #MeghanMarkle wedding if anyone needs a date. And<U+2026> https://t.co/PsknNfAjYV",FALSE,0,NA,2018-03-15 00:23:41,TRUE,NA,"974078648469868544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lisamcd1971",0,FALSE,FALSE,NA,NA
"7","RT @chrisshipitv: While the Royal Family are paying for the costs of the #royalwedding service, flowers and food, @RepublicStaff say that t<U+2026>",FALSE,0,NA,2018-03-15 00:08:03,FALSE,NA,"974074712694427653",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sheikhofchic",32,TRUE,FALSE,NA,NA
"8","RT @chrisshipitv: While the Royal Family are paying for the costs of the #royalwedding service, flowers and food, @RepublicStaff say that t<U+2026>",FALSE,0,NA,2018-03-14 23:51:35,FALSE,NA,"974070567610535936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LouiseGhislaine",32,TRUE,FALSE,NA,NA
"9","RT @Raine_Miller: <ed><U+00A0><U+00BD><ed><U+00B2><U+009B> <U+2661>Love in Transit<U+2661><ed><U+00A0><U+00BD><ed><U+00B2><U+009B>
        6 authors,1 blurb

<U+2B50> <U+2B50> <U+2B50> <U+2B50> Review!
<U+25B6><U+FE0F> https://t.co/HjmblDIcke 

#Paperback 
Buy <U+25B6><U+FE0F> https://t<U+2026>",FALSE,0,NA,2018-03-14 23:47:52,FALSE,NA,"974069630976348160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SamanthaCole222",8,TRUE,FALSE,NA,NA
"10","RT @Nova_Magazine17: Meghan Markle Reveals Why Trump Is Not Welcome At Royal Wedding: 'Trump Is A Misogynistic'
https://t.co/qViqykaSi2

#T<U+2026>",FALSE,0,NA,2018-03-14 23:46:30,FALSE,NA,"974069290491105282",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mary_nantell",87,TRUE,FALSE,NA,NA
