"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Angel_Guardian: #AGDLM
The #PrinceHarry and Ms. #MeghanMarkle joined today's Service of Commemoration and Thanksgiving to mark #ANZACDa<U+2026>",FALSE,0,NA,2018-04-26 01:46:13,FALSE,NA,"989319708766887937",NA,"<a href=""https://labnol.org/bots"" rel=""nofollow"">renile bot</a>","RedNile_Shoes",1,TRUE,FALSE,NA,NA
"2","RT @scobie: Coming soon to a club near you - <U+201C>The #RoyalWedding: The Official Album<U+201D>
@DeccaRecords announced today that the entire ceremony<U+2026>",FALSE,0,NA,2018-04-26 01:44:40,FALSE,NA,"989319315542261760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LadyCecilyNevil",31,TRUE,FALSE,NA,NA
"3","#AGDLM
The #PrinceHarry and Ms. #MeghanMarkle joined today's Service of Commemoration and Thanksgiving to mark<U+2026> https://t.co/pRjtf2YDOn",FALSE,0,NA,2018-04-26 01:44:36,TRUE,NA,"989319301881520129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Angel_Guardian",1,FALSE,FALSE,NA,NA
"4","RT @StylistMagazine: This is who will be singing at Meghan Markle and Prince Harry<U+2019>s wedding https://t.co/8Z46wkgNTA #royalwedding @TheKing<U+2026>",FALSE,0,NA,2018-04-26 01:43:55,FALSE,NA,"989319127205629952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JenniOLush",12,TRUE,FALSE,NA,NA
"5","@brittani_91 Oh look at this one just posted. I LOVE it #MeghanMarkel
""#RoyalWedding recording to be available on s<U+2026> https://t.co/oG3zJIL5Yc",FALSE,0,"brittani_91",2018-04-26 01:43:46,TRUE,"989315440445882368","989319089528111104","738856383639097346","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","McBlondeLand",0,FALSE,FALSE,NA,NA
"6","Did anyone else note Rachel's way more covered up? #royalwedding #suits",FALSE,0,NA,2018-04-26 01:42:37,FALSE,NA,"989318800943312897",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wild_Optimist",0,FALSE,FALSE,NA,NA
"7","Patiently Waiting For My Invite To The #RoyalWedding<U+00A0> From #HarryandMeghan https://t.co/xEcI9zLOA1",FALSE,0,NA,2018-04-26 01:42:21,FALSE,NA,"989318732399833088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JuStJeNn45",0,FALSE,FALSE,NA,NA
"8","RT @PageSix: #RoyalWedding recording to be available on streaming sites https://t.co/Y3d1CwjvJs https://t.co/dXPejfQcAx",FALSE,0,NA,2018-04-26 01:39:36,FALSE,NA,"989318040725671936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","0DGMETHHAZE666",2,TRUE,FALSE,NA,NA
"9","RT @TheChangeU12C: Pre-gaming for the #RoyalWedding like...#BlackGirlMagic #wcw https://t.co/HzoyvMRAvU",FALSE,0,NA,2018-04-26 01:38:50,FALSE,NA,"989317848135847936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sherm_",1,TRUE,FALSE,NA,NA
"10","RT @ETCanada: .@priyankachopra will be at the #RoyalWedding to see her friend Meghan Markle say ""I do"" to Prince Harry https://t.co/D16cv0u<U+2026>",FALSE,0,NA,2018-04-26 01:38:14,FALSE,NA,"989317698185252864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pranav1490",12,TRUE,FALSE,NA,NA
