"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Essence: If an employer/school ever makes a comment about your twits, braids, or cornrows reply with, <U+201C>if it<U+2019>s good enough for a #Royal<U+2026>",FALSE,0,NA,2018-05-23 01:48:52,FALSE,NA,"999104847637970944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","richboi2005",4971,TRUE,FALSE,NA,NA
"2","RT @GRRM: No deaths?! What a let down. #RoyalWedding",FALSE,0,NA,2018-05-23 01:48:52,FALSE,NA,"999104844966367232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThisPatGuy",11018,TRUE,FALSE,NA,NA
"3","RT @svidh_ya: Something  Never Change <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>
#RoyalWedding https://t.co/9eci8PcWKu",FALSE,0,NA,2018-05-23 01:48:51,FALSE,NA,"999104841644261376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","okpopes",4288,TRUE,FALSE,NA,NA
"4","RT @AfashatEnglish: The only royal wedding I ever cared for.

#RoyalWedding https://t.co/8nQbhn1Eon",FALSE,0,NA,2018-05-23 01:48:50,FALSE,NA,"999104836326100992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SirajAdeenArro",355,TRUE,FALSE,NA,NA
"5","RT @adamlea2: Let<U+2019>s take a moment to honor this beautiful, strong woman; Meghan Markle<U+2019>s Mother, Doria Ragland, who sat alone, a million mi<U+2026>",FALSE,0,NA,2018-05-23 01:48:44,FALSE,NA,"999104811319541760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tweetandtwig",62791,TRUE,FALSE,NA,NA
"6","RT @CNN: Fresh off his star-making sermon at the #royalwedding, Episcopal Presiding Bishop Michael Curry plans to take part in a candleligh<U+2026>",FALSE,0,NA,2018-05-23 01:48:41,FALSE,NA,"999104798359076864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","3putt67",191,TRUE,FALSE,NA,NA
"7","RT @jackxalan: So tune in to @AirtimeTonight  this Thursday at 8 PM Eastern to see our coverage of the #RoyalWedding. Were there hats? Were<U+2026>",FALSE,0,NA,2018-05-23 01:48:38,FALSE,NA,"999104789215559682",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itspoemthought",21,TRUE,FALSE,NA,NA
"8","@CNN @andersoncooper If CNN &amp; ..nbc instead world news again
 Mafioso Avanti then run no news to Americans but brai<U+2026> https://t.co/u5cdDt2Ilg",FALSE,0,"CNN",2018-05-23 01:48:33,TRUE,"999101597597646848","999104767518560256","759251","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HenryOray",0,FALSE,FALSE,NA,NA
"9","RT @SowingAnReaping: WE see You Mama, Rocking those Dreads &amp; Nose Ring &amp; the Duchess of Sussex
#RoyalSistah
#BlackGirlMajic
#RoyalWedding<U+2026>",FALSE,0,NA,2018-05-23 01:48:32,FALSE,NA,"999104764473413632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GPBGeorge",131,TRUE,FALSE,NA,NA
"10","RT @RobsessedHeart: You're a wizard, Harry. 
#RoyalWedding https://t.co/QSl5GFseu4",FALSE,0,NA,2018-05-23 01:48:29,FALSE,NA,"999104751827472384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","forsrsv",36,TRUE,FALSE,NA,NA
"11","RT @bubblegumc0wb0y: Whoever took this photo... wow! <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>#RoyalWedding https://t.co/c5MuqEq37O",FALSE,0,NA,2018-05-23 01:48:29,FALSE,NA,"999104748199522304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brooklyn_puta",799,TRUE,FALSE,NA,NA
"12","RT @CNN: Fresh off his star-making sermon at the #royalwedding, Episcopal Presiding Bishop Michael Curry plans to take part in a candleligh<U+2026>",FALSE,0,NA,2018-05-23 01:48:27,FALSE,NA,"999104741488582657",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kenlujan11",191,TRUE,FALSE,NA,NA
"13","RT @hannahbsampson: This moment was straight out of a movie. #RoyalWedding https://t.co/wEtr51DX2O",FALSE,0,NA,2018-05-23 01:48:22,FALSE,NA,"999104720785506304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","courtgilham",16198,TRUE,FALSE,NA,NA
"14","@lynejea YESSSSSSSS, Duchess!!!  Twirl on 'em!!!  #RoyalWedding #MeghanMarkle #PrinceHarry #PrinceHarryAndMeghan https://t.co/lAaSTQX6LY",FALSE,0,"lynejea",2018-05-23 01:48:19,FALSE,"998967055805308929","999104708701769730","546730921","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CoffeeCreamTalk",0,FALSE,FALSE,NA,NA
"15","RT @inspirestaff: In #celebration for #theroyalwedding this #weekend we are giving away over this next week for #freebiefriday a special #g<U+2026>",FALSE,0,NA,2018-05-23 01:48:18,FALSE,NA,"999104704402591745",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chillijamx",1083,TRUE,FALSE,NA,NA
"16","RT @TheView: BEHIND THE ROYAL SERMON: Bishop Michael Curry (@PB_Curry) made history at the #RoyalWedding <U+2014> and now he takes us behind his p<U+2026>",FALSE,0,NA,2018-05-23 01:48:17,FALSE,NA,"999104701282095105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vilady01",168,TRUE,FALSE,NA,NA
"17","A Real Life Fairytale. #sudyapp #princeharry #princeharryandmeghan #meghanmarkle #royalwedding #princeharryandmeghan https://t.co/RAoYd1fumI",FALSE,1,NA,2018-05-23 01:48:17,FALSE,NA,"999104699256127488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sudylife",0,FALSE,FALSE,NA,NA
"18","RT @AustralianOpen: .@serenawilliams was at the #RoyalWedding one minute and practising at @rolandgarros the next. #RG18 awaits...

More: h<U+2026>",FALSE,0,NA,2018-05-23 01:48:16,FALSE,NA,"999104696466919425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stampwilliams",158,TRUE,FALSE,NA,NA
"19","RT @erinruberry: Meghan Markle<U+2019>s rescue dog, a beagle named Guy, rode into Windsor with Queen Elizabeth earlier this week https://t.co/81zH<U+2026>",FALSE,0,NA,2018-05-23 01:48:16,FALSE,NA,"999104696030781440",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mrssarogers",4040,TRUE,FALSE,NA,NA
"20","RT @svidh_ya: Something  Never Change <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>
#RoyalWedding https://t.co/9eci8PcWKu",FALSE,0,NA,2018-05-23 01:48:15,FALSE,NA,"999104689152053248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsmewrd_",4288,TRUE,FALSE,NA,NA
"21","RT @RainVENNT: Doria Ragland #MeghanMarkle Mother w/ Prince Charles and Camila Parker Bowles was a powerful symbolic cultural moment that a<U+2026>",FALSE,0,NA,2018-05-23 01:48:13,FALSE,NA,"999104684437786624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GPBGeorge",194,TRUE,FALSE,NA,NA
"22","RT @JobsinNWales: Following the news that Meghan Markle is set to wear a wedding ring made from North Wales gold, we<U+2019>re giving away a <U+00A3>50 C<U+2026>",FALSE,0,NA,2018-05-23 01:48:02,FALSE,NA,"999104635909521408",NA,"<a href=""https://twitaculous.com/"" rel=""nofollow"">Twitaculous - Win Stuff!</a>","karlfoxley",372,TRUE,FALSE,NA,NA
"23","RT @Essence: Prince Charles is the real MVP. He actually came up with the idea of having gospel music at the #RoyalWedding. https://t.co/WO<U+2026>",FALSE,0,NA,2018-05-23 01:48:02,FALSE,NA,"999104634865274881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cupcake0804",236,TRUE,FALSE,NA,NA
"24","#RoyalWedding WATCH OUT Meghan DOS Is About To Set The WORLD On Fire - Class Class CLASS !",FALSE,0,NA,2018-05-23 01:48:01,FALSE,NA,"999104632658935808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","venrjs",0,FALSE,FALSE,NA,NA
"25","RT @Shohab111: #MeghanMarkle posing in front of the palace at age 15. And marrying the prince 22 years later. #RoyalWedding #HarryandMeghan<U+2026>",FALSE,0,NA,2018-05-23 01:48:00,FALSE,NA,"999104626979983360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GPBGeorge",366,TRUE,FALSE,NA,NA
"26","LOLZ Cats!!!!! #RoyalWedding https://t.co/JpRJ6c1ec1",FALSE,0,NA,2018-05-23 01:47:59,FALSE,NA,"999104624312377345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rosie_Bassett",0,FALSE,FALSE,NA,NA
"27","RT @UN_Women: Thank you for your vision, Meghan Markle. #RoyalWedding https://t.co/hfczpknSgD",FALSE,0,NA,2018-05-23 01:47:59,FALSE,NA,"999104622651367424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dudakossak_",5156,TRUE,FALSE,NA,NA
"28","RT @iamseyishay: Congrats to these 2 adorable royals <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>#HarryandMeghan #ilovelove https://t.co/tPX7Do8FyX",FALSE,0,NA,2018-05-23 01:47:59,FALSE,NA,"999104622517157888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shantay92384336",46,TRUE,FALSE,NA,NA
"29","RT @CNN: The bishop who addressed the #royalwedding tells @camanpour what was going through his head as he was speaking https://t.co/UgPHeB<U+2026>",FALSE,0,NA,2018-05-23 01:47:57,FALSE,NA,"999104616162910208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abrow51",127,TRUE,FALSE,NA,NA
"30","RT @GMA: The royals all looked their best for the official #RoyalWedding photos of Prince Harry and Meghan Markle - now the Duke and Duches<U+2026>",FALSE,0,NA,2018-05-23 01:47:55,FALSE,NA,"999104608575348741",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ladyvolnc",56,TRUE,FALSE,NA,NA
"31","RT @hannahbsampson: This moment was straight out of a movie. #RoyalWedding https://t.co/wEtr51DX2O",FALSE,0,NA,2018-05-23 01:47:54,FALSE,NA,"999104601860247553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prisxill",16198,TRUE,FALSE,NA,NA
"32","RT @erinruberry: Meghan Markle<U+2019>s rescue dog, a beagle named Guy, rode into Windsor with Queen Elizabeth earlier this week https://t.co/81zH<U+2026>",FALSE,0,NA,2018-05-23 01:47:53,FALSE,NA,"999104599150747650",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beea_re",4040,TRUE,FALSE,NA,NA
"33","RT @NikkoGo: Probably the best #RoyalWedding story <ed><U+00A0><U+00BC><ed><U+00BF><U+0093><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BC><ed><U+00BF><U+0086> #SerenaWilliams er<U+2019>body <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> https://t.co/159y6yvezc",FALSE,0,NA,2018-05-23 01:47:52,FALSE,NA,"999104596793614336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DiChristine",1,TRUE,FALSE,NA,NA
