"id","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","title","source"
"tS9FfL8kNxQ","401924","7780","164","0","1886","Gowdy scorches Comey in opening statement at IG hearing","FoxNews"
"MwsrPYUazq8","160772","6230","161","0","1788","Ex-liberal to progressives: Walk away","FoxNews"
"CISoGx8qzCE","577875","3657","121","0","2635","Tucker vs. Rutgers protester: Who should be allowed into US?","FoxNews"
"EX0RyawQub4","245947","10019","308","0","3721","Campaign to abandon liberalism goes viral","FoxNews"
"yW2LpFkVfYk","248091","10583","178","0","3331","Ami Horowitz: How white liberals really view black voters","FoxNews"
"rQDzAGlf9og","444390","4419","117","0","2789","Tucker to prof: Shouldn't students toughen up over election?","FoxNews"
"kBuZaZapH7A","605583","8370","409","0","3185","Gowdy to Schiff: GOP doesn't give a damn what you think","FoxNews"
"Rbo0Lodbub0","613952","10727","629","0","6195","Gowdy to Rosenstein on Russia probe: 'Finish it the hell up'","FoxNews"
"dZfv9_Q3eUE","137945","3290","104","0","1171","Roger Stone, Dinesh D'Souza react to DOJ IG's report","FoxNews"
"I8F8rCJhVM4","148601","5706","168","0","3220","Ethics complaint filed against Maxine Waters","FoxNews"
"UABy9b-0ndw","154627","2581","79","0","1572","DOJ hits deadline to comply with congressional subpoena","FoxNews"
"Gt6UcvZSt_E","48229","1237","21","0","429","Steyn: IG report shows there is no rule book in the FBI","FoxNews"
"hyttxEhAR2k","169553","3910","142","0","1595","Nunes tightens screws in his probe into surveillance abuses","FoxNews"
"Ayst3jdbvRk","99215","2805","58","0","798","Mark Levin: Not a single pro-Trump FBI agent in IG report","FoxNews"
"VHvBYG5-DDE","234987","3556","123","0","997","Dershowitz breaks down leaked details of IG draft","FoxNews"
"1-D2bNnU2JI","93080","3043","113","0","1448","Tucker: Rage has finally consumed progressives","FoxNews"
"Wye6De4wR6c","88357","2923","115","0","1293","Tucker: Left's gamble that voters hate Trump is failing","FoxNews"
"cSGf2ZpDENU","524151","16737","843","0","6021","Tucker: Would war against Assad make US safer?","FoxNews"
"e9nFy2DREw8","166332","5650","263","0","2246","Dinesh D'Souza opens up about being pardoned by Trump","FoxNews"
"DCWdTT1GZKY","282947","4650","147","0","1659","Trump and Kim hold surprise document signing during summit","FoxNews"
"69rRA57QPPA","109187","2277","77","0","752","Dan Bongino: Brennan has disgraced the country","FoxNews"
"IH8nYbQCE80","51056","1593","57","0","822","Nigel Farage on the 'red line' Trump 'ban'","FoxNews"
"MaU2cMpBOfA","65629","1474","42","0","601","Gorka on agreement signed between Trump and Kim","FoxNews"
"3saEeDkemOA","515894","5548","205","0","1496","Ranchers living on the border fire back at Nancy Pelosi","FoxNews"
"NGlC4axSFag","490731","8931","288","0","2598","Four-star general reacts to teacher's anti-military rant","FoxNews"
"pQEesjv3sXs","184928","4156","147","0","1064","Tucker: Media misses the big deal about leaker arrest","FoxNews"
"tGN5TosvL6w","73949","2921","65","0","1226","'American Idol' star defends accepting White House invite","FoxNews"
"26QADfkFu3U","68400","1955","43","0","884","Alice Johnson reacts after Trump commutes prison sentence","FoxNews"
"R7naBtqcleE","178157","3326","118","0","1204","Dershowitz reacts to judge questioning Manafort case motives","FoxNews"
"8UvF5b6xjBY","632576","8864","482","0","4853","Gowdy, Goodlatte react to inspector general's report on FBI","FoxNews"
"chGJm07KKZc","51320","1399","36","0","752","Sebastian Gorka: IG report is 560-page cover-up","FoxNews"
"e7ZNwx0cMgI","66763","1556","43","0","719","Gingrich: IG report shows there really is a deep state","FoxNews"
"AjZgjB0kW5c","67390","1623","32","0","655","David Limbaugh: Judge was rightly irritated by Mueller team","FoxNews"
"amRHXCJrTe4","36831","1616","23","0","636","Former Navy SEAL wins Texas GOP runoff race","FoxNews"
"M4JMmFNuXCg","118873","2609","157","0","3127","Ben Shapiro slams 'idiotic' Statue of Liberty protest","FoxNews"
"yLpAZJXFrEo","228223","4256","140","0","2980","Greg Gutfeld on ostracizing your political adversaries","FoxNews"
"C0RpFdBBEFU","64971","1771","61","0","697","Gohmert: Rosenstein is spying on me","FoxNews"
"IjLs6D4-JaY","79430","1529","32","0","429","Andy McCarthy, Joe diGenova preview Peter Strzok's testimony","FoxNews"
"tQBizaiddv4","117117","2654","41","0","716","DOJ watchdog completes draft report on Clinton probe","FoxNews"
"AUH4-xCcpUw","81164","2626","56","0","1130","Ex-sailor pardoned by Trump on new Clinton probe docs","FoxNews"
"Yw_xC4O5hWM","138290","1823","73","0","1358","Goodlatte: Strzok instructed not to answer many questions","FoxNews"
