"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent"
"S5S9LIT-hdc","2015-06-16T12:41:38.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","My First Line of Code: Linus Torvalds","June 16 -- Linus Torvalds, who is known for developing the Linux kernel, talks to Bloomberg about his first line of code.","https://i.ytimg.com/vi/S5S9LIT-hdc/default.jpg","120","90","https://i.ytimg.com/vi/S5S9LIT-hdc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/S5S9LIT-hdc/hqdefault.jpg","480","360","Bloomberg","none"
"tgmk6G7uh0M","2017-05-11T18:30:01.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Tesla's Solar Roof Is Cheaper Than Expected","Tesla will begin delivering its first solar roof tiles this summer at a price point that could expand the U.S. solar market. Bloomberg's Tom Randall explains how the ...","https://i.ytimg.com/vi/tgmk6G7uh0M/default.jpg","120","90","https://i.ytimg.com/vi/tgmk6G7uh0M/mqdefault.jpg","320","180","https://i.ytimg.com/vi/tgmk6G7uh0M/hqdefault.jpg","480","360","Bloomberg","none"
"Up9-C4_8dVo","2014-09-08T14:52:26.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Alibaba IPO: Jack Ma's Original Sales Pitch in 1999","Sept. 8 (Bloomberg) -- In this clip from 1999, Jack Ma delivers a speech to 17 friends in his apartment to introduce Alibaba and lay out his plan to compete with ...","https://i.ytimg.com/vi/Up9-C4_8dVo/default.jpg","120","90","https://i.ytimg.com/vi/Up9-C4_8dVo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Up9-C4_8dVo/hqdefault.jpg","480","360","Bloomberg","none"
"pJif4i9NRdI","2014-12-04T04:10:42.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Steve Wozniak Debunks One of Apple's Biggest Myths","Dec. 4 (Bloomberg) –- For its 85th anniversary, Bloomberg Businessweek chronicles the most disruptive ideas of the past 85 years. In 1976, The Apple 1 ...","https://i.ytimg.com/vi/pJif4i9NRdI/default.jpg","120","90","https://i.ytimg.com/vi/pJif4i9NRdI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/pJif4i9NRdI/hqdefault.jpg","480","360","Bloomberg","none"
"SDGU7PU6MvM","2014-02-24T00:53:54.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","DiCaprio: Couldn't Believe 'Wolf' Belfort Survived","Charlie Rose talks to Oscar nominee Leonardo DiCaprio about his film ""The Wolf of Wall Street."" The actor reveals what he learned from conman Jordan Belfort ...","https://i.ytimg.com/vi/SDGU7PU6MvM/default.jpg","120","90","https://i.ytimg.com/vi/SDGU7PU6MvM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SDGU7PU6MvM/hqdefault.jpg","480","360","Bloomberg","none"
"N3fHkCFxgQQ","2015-08-04T14:04:53.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Polygraph Expert Shows How to Beat a Lie Detector Test","Doug Williams is a former Oklahoma City detective sergeant. As an officer in the department's internal affairs and polygraph unit, he conducted thousands of ...","https://i.ytimg.com/vi/N3fHkCFxgQQ/default.jpg","120","90","https://i.ytimg.com/vi/N3fHkCFxgQQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/N3fHkCFxgQQ/hqdefault.jpg","480","360","Bloomberg","none"
"if1AeoHbZ8k","2014-11-17T16:29:39.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Tony Robbins on the Best Piece of Advice He Ever Got","Nov. 14 (Bloomberg) -- Entrepreneur, Author and Peak Performance Strategist Tony Robbins discusses the best piece of advice he's ever received and his ...","https://i.ytimg.com/vi/if1AeoHbZ8k/default.jpg","120","90","https://i.ytimg.com/vi/if1AeoHbZ8k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/if1AeoHbZ8k/hqdefault.jpg","480","360","Bloomberg","none"
"Wlxz-KzebbQ","2016-06-22T23:07:10.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","The Tech That Could Fix One of Wind Power's Biggest Problems","Hello World's Ashlee Vance paid a recent visit to Iceland's capital city of Reykjavik to see the next part of the green energy story. He found a start-up called ...","https://i.ytimg.com/vi/Wlxz-KzebbQ/default.jpg","120","90","https://i.ytimg.com/vi/Wlxz-KzebbQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Wlxz-KzebbQ/hqdefault.jpg","480","360","Bloomberg","none"
"3EYK0C8-A68","2017-03-01T12:52:47.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Oprah Winfrey Says This Is the Best Advice She Ever Heard","Mar.01 -- Oprah Winfrey reveals what the poet Maya Angelou told her about creating a legacy and understanding the value of what one leaves behind.","https://i.ytimg.com/vi/3EYK0C8-A68/default.jpg","120","90","https://i.ytimg.com/vi/3EYK0C8-A68/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3EYK0C8-A68/hqdefault.jpg","480","360","Bloomberg","none"
"leiI2DVCF1A","2018-02-01T20:11:46.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","How a U.S. Nuclear Strike Actually Works","What would happen if the president of the United States wanted to launch a nuclear weapon? Here are the steps the commander-in-chief would need to take.","https://i.ytimg.com/vi/leiI2DVCF1A/default.jpg","120","90","https://i.ytimg.com/vi/leiI2DVCF1A/mqdefault.jpg","320","180","https://i.ytimg.com/vi/leiI2DVCF1A/hqdefault.jpg","480","360","Bloomberg","none"
"MLMS_QtKamg","2016-01-21T13:17:57.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Driving a Ford Model T Is a Lot Harder Than You'd Think! We Tried It","Starting in 1908, Henry Ford sold his novel Model T cars as the first to be really accessible to the masses. What's more, he marketed them as easy to handle for ...","https://i.ytimg.com/vi/MLMS_QtKamg/default.jpg","120","90","https://i.ytimg.com/vi/MLMS_QtKamg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/MLMS_QtKamg/hqdefault.jpg","480","360","Bloomberg","none"
"OTmPw4iy0hk","2015-07-30T21:47:34.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Stephen Hawking's Voice and the Machine That Powers It","Bioengineering the Senses: A closer look at tech on the frontiers of medical science. Today we look at the machine behind physicist Stephen Hawking -- and ...","https://i.ytimg.com/vi/OTmPw4iy0hk/default.jpg","120","90","https://i.ytimg.com/vi/OTmPw4iy0hk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/OTmPw4iy0hk/hqdefault.jpg","480","360","Bloomberg","none"
"ITiyKmYnL-0","2017-12-21T23:34:11.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","How Bespoke Italian Leather Shoes Are Made","In a small workshop in Florence, Saskia Wittmer crafts leather shoes that are as unique as each customer. MADE is a series of simple, lovely short films that ...","https://i.ytimg.com/vi/ITiyKmYnL-0/default.jpg","120","90","https://i.ytimg.com/vi/ITiyKmYnL-0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ITiyKmYnL-0/hqdefault.jpg","480","360","Bloomberg","none"
"KTrgRYa2wbI","2015-12-16T15:08:09.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Meet the 26-Year-Old Hacker Who Built a Self-Driving Car... in His Garage","George Hotz, the first person to hack the iPhone, says he built a self-driving car in a month. How did he do it? Bloomberg's Ashlee Vance went to Hotz's home to ...","https://i.ytimg.com/vi/KTrgRYa2wbI/default.jpg","120","90","https://i.ytimg.com/vi/KTrgRYa2wbI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/KTrgRYa2wbI/hqdefault.jpg","480","360","Bloomberg","none"
"e67olR-cYqc","2015-09-29T17:33:42.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","The Entire History of Tesla in Two Minutes","April 30 -- Tesla is a young company, but it's already made history. Bloomberg takes a quick look back at some of Tesla's milestones since its founding in 2003.","https://i.ytimg.com/vi/e67olR-cYqc/default.jpg","120","90","https://i.ytimg.com/vi/e67olR-cYqc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/e67olR-cYqc/hqdefault.jpg","480","360","Bloomberg","none"
"uWjGGvY65jk","2017-08-23T19:03:21.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Berlin is Becoming a Sponge City","Berlin is becoming a ""Sponge City"" designed to tackle two issues - heat and flooding - by imitating nature. Video by Gloria Kurnik ...","https://i.ytimg.com/vi/uWjGGvY65jk/default.jpg","120","90","https://i.ytimg.com/vi/uWjGGvY65jk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/uWjGGvY65jk/hqdefault.jpg","480","360","Bloomberg","none"
"50rXYrFCQMw","2017-01-07T06:09:57.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Here's Where the Juice That Powers Batteries Comes From","Ashlee Vance explores lithium mining in Chile's Atacama Desert. Watch the full episode of 'Hello World: Chile': https://www.youtube.com/watch?v=ii1aMY-vU70 ...","https://i.ytimg.com/vi/50rXYrFCQMw/default.jpg","120","90","https://i.ytimg.com/vi/50rXYrFCQMw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/50rXYrFCQMw/hqdefault.jpg","480","360","Bloomberg","none"
"ay4BUXDONL8","2017-12-04T02:58:25.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","At 88rising, East Meets West, One Viral Hit at a Time","Combining elements of Asian and Western culture. 88rising is a young entertainment company hoping to build a lasting, global brand that will outlive singular ...","https://i.ytimg.com/vi/ay4BUXDONL8/default.jpg","120","90","https://i.ytimg.com/vi/ay4BUXDONL8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ay4BUXDONL8/hqdefault.jpg","480","360","Bloomberg","none"
"QDFqsjoFFxo","2017-05-16T16:34:51.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","The Painstaking Art of Making a Luxury Watch","The Swiss watch brand Arnold & Son builds all its own movements and tools in-house and from scratch. Each timepiece is a painstaking work of art that takes ...","https://i.ytimg.com/vi/QDFqsjoFFxo/default.jpg","120","90","https://i.ytimg.com/vi/QDFqsjoFFxo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/QDFqsjoFFxo/hqdefault.jpg","480","360","Bloomberg","none"
"2sWhvOaavTQ","2010-09-07T13:18:54.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Burry Discusses Investing in Farmland, Real Estate, Gold: Video","Sept. 7 (Bloomberg) -- Michael Burry, the former head of Scion Capital LLC who predicted the housing market's plunge, talks with Bloomberg's Jon Erlichman ...","https://i.ytimg.com/vi/2sWhvOaavTQ/default.jpg","120","90","https://i.ytimg.com/vi/2sWhvOaavTQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2sWhvOaavTQ/hqdefault.jpg","480","360","Bloomberg","none"
"8nbz5VFilxY","2017-08-10T15:20:28.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","The Death and Life of Helicopter Commuting","Fifty years ago, a helicopter company called New York Airways whisked passengers from the rooftop of the iconic Pan Am Building in midtown Manhattan to any ...","https://i.ytimg.com/vi/8nbz5VFilxY/default.jpg","120","90","https://i.ytimg.com/vi/8nbz5VFilxY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/8nbz5VFilxY/hqdefault.jpg","480","360","Bloomberg","none"
"r1F3PKypaZU","2013-10-21T17:08:28.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","A Five-Minute Lesson in Manhood With Nick Offerman","Oct. 21 (Bloomberg) -- Bloomberg Businessweek's Sam Grobart sits down with Nick Offerman, star of NBC's ""Parks and Recreation"" and the author of Paddle ...","https://i.ytimg.com/vi/r1F3PKypaZU/default.jpg","120","90","https://i.ytimg.com/vi/r1F3PKypaZU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/r1F3PKypaZU/hqdefault.jpg","480","360","Bloomberg","none"
"T_P1D_H1et8","2017-10-03T18:16:43.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","How Jeff Bezos Became the King of E-Commerce","Amazon CEO Jeff Bezos was one of the first entrepreneurs to realize the potential of selling products on the internet. This Bloomberg Profile looks into how ...","https://i.ytimg.com/vi/T_P1D_H1et8/default.jpg","120","90","https://i.ytimg.com/vi/T_P1D_H1et8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/T_P1D_H1et8/hqdefault.jpg","480","360","Bloomberg","none"
