"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent"
"CLKZb1wLmAY","2013-02-25T16:38:25.000Z","UCupvZG-5ko_eiXAupbDfxWw","Raw: Jennifer Lawrence backstage after 2013 Oscar win","2013 Best Actress winner Jennifer Lawrence talks to the press about winning her first Oscar. For more CNN videos, visit our site at http://www.cnn.com/video/","https://i.ytimg.com/vi/CLKZb1wLmAY/default.jpg","120","90","https://i.ytimg.com/vi/CLKZb1wLmAY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/CLKZb1wLmAY/hqdefault.jpg","480","360","CNN","none"
"3ONunH_ql5M","2016-02-01T17:03:42.000Z","UCupvZG-5ko_eiXAupbDfxWw","Mom hears son's heartbeat after his death","A mom in Arizona donated her son's organs after he died in 2013. Recently, she met with the family of one of the lives he saved. To sign up to be an organ donor ...","https://i.ytimg.com/vi/3ONunH_ql5M/default.jpg","120","90","https://i.ytimg.com/vi/3ONunH_ql5M/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3ONunH_ql5M/hqdefault.jpg","480","360","CNN","none"
"DsQhB4tJRxw","2012-09-11T02:23:21.000Z","UCupvZG-5ko_eiXAupbDfxWw","Tom Hanks cracks up memorial service","An emotional Tom Hanks shares a funny story at Michael Clarke Duncan's memorial service. For more CNN videos, check out our YouTube channel at ...","https://i.ytimg.com/vi/DsQhB4tJRxw/default.jpg","120","90","https://i.ytimg.com/vi/DsQhB4tJRxw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/DsQhB4tJRxw/hqdefault.jpg","480","360","CNN","none"
"jeO_eRm7g_4","2016-09-16T13:35:35.000Z","UCupvZG-5ko_eiXAupbDfxWw","Woman whispers for help in a chilling 911 call","A woman pleaded for help to an Ohio police dispatcher while her alleged abductor slept just feet away. CNN's George Howell reports.","https://i.ytimg.com/vi/jeO_eRm7g_4/default.jpg","120","90","https://i.ytimg.com/vi/jeO_eRm7g_4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/jeO_eRm7g_4/hqdefault.jpg","480","360","CNN","none"
"RQmqcaS5LIM","2013-05-29T14:42:59.000Z","UCupvZG-5ko_eiXAupbDfxWw","1988: Is this James Brown's strangest interview ever?","On April 4, 1988, James Brown appeared on CNN and gave what might be his strangest interview ever. For more CNN videos, visit our site at ...","https://i.ytimg.com/vi/RQmqcaS5LIM/default.jpg","120","90","https://i.ytimg.com/vi/RQmqcaS5LIM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/RQmqcaS5LIM/hqdefault.jpg","480","360","CNN","none"
"8hU6gR4zHnM","2012-05-11T11:56:34.000Z","UCupvZG-5ko_eiXAupbDfxWw","A boy with cerebral palsy walks to his Marine dad for the first time","A boy with cerebral palsy was told he'd never walk, but did just that when he saw his returning Marine dad.","https://i.ytimg.com/vi/8hU6gR4zHnM/default.jpg","120","90","https://i.ytimg.com/vi/8hU6gR4zHnM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/8hU6gR4zHnM/hqdefault.jpg","480","360","CNN","none"
"3LhCr944-e0","2014-11-27T18:03:58.000Z","UCupvZG-5ko_eiXAupbDfxWw","Sister hears brother's heartbeat after death","After losing their son and brother in a tragic house fire, the Heisler family got to hear his heart beat again.","https://i.ytimg.com/vi/3LhCr944-e0/default.jpg","120","90","https://i.ytimg.com/vi/3LhCr944-e0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3LhCr944-e0/hqdefault.jpg","480","360","CNN","none"
"mtEClycW1dA","2015-11-05T21:18:43.000Z","UCupvZG-5ko_eiXAupbDfxWw","Teen discovers he's been a missing person for 13 years","An 18-year-old in Ohio finds out he was classified as a missing person from Alabama 13 years ago after he tried to apply for college. CNN's Jean Casarez ...","https://i.ytimg.com/vi/mtEClycW1dA/default.jpg","120","90","https://i.ytimg.com/vi/mtEClycW1dA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/mtEClycW1dA/hqdefault.jpg","480","360","CNN","none"
"z2bTymnb1uE","2013-10-04T13:47:21.000Z","UCupvZG-5ko_eiXAupbDfxWw","Meet the real woman behind the voice of Siri","Susan Bennett reveals to the world that she's the voice behind Siri.","https://i.ytimg.com/vi/z2bTymnb1uE/default.jpg","120","90","https://i.ytimg.com/vi/z2bTymnb1uE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/z2bTymnb1uE/hqdefault.jpg","480","360","CNN","none"
"Fe2BfdlzwgI","2013-02-06T00:53:51.000Z","UCupvZG-5ko_eiXAupbDfxWw","Judge flips out after getting flipped off","Proving that 'some people have to learn the hard way,' a Miami woman learned not to flip off a judge. For more CNN videos, visit our site at ...","https://i.ytimg.com/vi/Fe2BfdlzwgI/default.jpg","120","90","https://i.ytimg.com/vi/Fe2BfdlzwgI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Fe2BfdlzwgI/hqdefault.jpg","480","360","CNN","none"
"9eUl4gF0ED4","2016-05-29T18:37:36.000Z","UCupvZG-5ko_eiXAupbDfxWw","Harvard graduate's unique speech goes viral","Harvard University has called 2016 graduate Donovan Livingston's spoken-verse commencement speech ""one of the most powerful, heartfelt student speeches ...","https://i.ytimg.com/vi/9eUl4gF0ED4/default.jpg","120","90","https://i.ytimg.com/vi/9eUl4gF0ED4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9eUl4gF0ED4/hqdefault.jpg","480","360","CNN","none"
"4YCDEr9uJb0","2012-05-24T03:56:30.000Z","UCupvZG-5ko_eiXAupbDfxWw","Slash: My last words to Axl Rose","CNN's Piers Morgan asks legendary guitarist Slash whether he'd ever reunite with Axl Rose and Guns N' Roses. For more CNN videos, check out our YouTube ...","https://i.ytimg.com/vi/4YCDEr9uJb0/default.jpg","120","90","https://i.ytimg.com/vi/4YCDEr9uJb0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/4YCDEr9uJb0/hqdefault.jpg","480","360","CNN","none"
"_RFTnb4nC-A","2014-04-11T02:08:22.000Z","UCupvZG-5ko_eiXAupbDfxWw","Anthony Bourdain: Indian food won't kill you","Anderson Cooper sits down with Anthony Bourdain to talk about the first episode of his new season of ""Parts Unknown.""","https://i.ytimg.com/vi/_RFTnb4nC-A/default.jpg","120","90","https://i.ytimg.com/vi/_RFTnb4nC-A/mqdefault.jpg","320","180","https://i.ytimg.com/vi/_RFTnb4nC-A/hqdefault.jpg","480","360","CNN","none"
"ysYGCtGYGdc","2014-10-28T12:20:00.000Z","UCupvZG-5ko_eiXAupbDfxWw","Anthony Bourdain: Iran not what I expected (Parts Unknown)","Tony says Iran is ""neither East nor West, but always somewhere in the middle."" The country far exceeded his expectations.","https://i.ytimg.com/vi/ysYGCtGYGdc/default.jpg","120","90","https://i.ytimg.com/vi/ysYGCtGYGdc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ysYGCtGYGdc/hqdefault.jpg","480","360","CNN","none"
"sW6cXVzRnuo","2018-02-22T05:18:38.000Z","UCupvZG-5ko_eiXAupbDfxWw","Student's sing moving tribute to shooting victims","The Stoneman Douglas High school drama club perform ""Shine,"" a song they wrote in the wake of the shooting at their Parkland, Florida, school. For more ...","https://i.ytimg.com/vi/sW6cXVzRnuo/default.jpg","120","90","https://i.ytimg.com/vi/sW6cXVzRnuo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/sW6cXVzRnuo/hqdefault.jpg","480","360","CNN","none"
"yL9UJVtgPZY","2014-06-10T00:51:51.000Z","UCupvZG-5ko_eiXAupbDfxWw","Anderson Cooper tries a schizophrenia simulator","CNN's Anderson Cooper tries to go through a normal day using a schizophrenia simulator. More from CNN at http://www.cnn.com/ To license this and other ...","https://i.ytimg.com/vi/yL9UJVtgPZY/default.jpg","120","90","https://i.ytimg.com/vi/yL9UJVtgPZY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/yL9UJVtgPZY/hqdefault.jpg","480","360","CNN","none"
"LIbwYaOcGxg","2015-11-04T02:20:28.000Z","UCupvZG-5ko_eiXAupbDfxWw","Parents allow child to make life, death decision","Is a five-year-old old enough to choose heaven over the hospital? CNN's Elizabeth Cohen has more.","https://i.ytimg.com/vi/LIbwYaOcGxg/default.jpg","120","90","https://i.ytimg.com/vi/LIbwYaOcGxg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/LIbwYaOcGxg/hqdefault.jpg","480","360","CNN","none"
