"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent"
"tS9FfL8kNxQ","2018-06-19T16:41:46.000Z","UCXIJgqnII2ZOINSWNOGFThA","Gowdy scorches Comey in opening statement at IG hearing","House Oversight Committee Chairman Trey Gowdy condemns the former FBI director before testimony from Justice Department Inspector General Michael ...","https://i.ytimg.com/vi/tS9FfL8kNxQ/default.jpg","120","90","https://i.ytimg.com/vi/tS9FfL8kNxQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/tS9FfL8kNxQ/hqdefault.jpg","480","360","Fox News","none"
"MwsrPYUazq8","2018-07-03T01:43:05.000Z","UCXIJgqnII2ZOINSWNOGFThA","Ex-liberal to progressives: Walk away","Brandon Straka spent years as a liberal, but now he says he's fed up with what the Left has become. He explains why he recently released a viral video ...","https://i.ytimg.com/vi/MwsrPYUazq8/default.jpg","120","90","https://i.ytimg.com/vi/MwsrPYUazq8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/MwsrPYUazq8/hqdefault.jpg","480","360","Fox News","none"
"CISoGx8qzCE","2016-11-17T02:00:39.000Z","UCXIJgqnII2ZOINSWNOGFThA","Tucker vs. Rutgers protester: Who should be allowed into US?","'Tucker Carlson Tonight' host debates Anti-Trump student protester over illegal immigration, college campuses as sanctuaries.","https://i.ytimg.com/vi/CISoGx8qzCE/default.jpg","120","90","https://i.ytimg.com/vi/CISoGx8qzCE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/CISoGx8qzCE/hqdefault.jpg","480","360","Fox News","none"
"EX0RyawQub4","2018-07-04T02:54:57.000Z","UCXIJgqnII2ZOINSWNOGFThA","Campaign to abandon liberalism goes viral","WalkAway social media campaign urges liberals to walk away from the Democratic Party. Founder Brandon Straka explains on 'The Ingraham Angle.","https://i.ytimg.com/vi/EX0RyawQub4/default.jpg","120","90","https://i.ytimg.com/vi/EX0RyawQub4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/EX0RyawQub4/hqdefault.jpg","480","360","Fox News","none"
"yW2LpFkVfYk","2016-11-03T20:54:55.000Z","UCXIJgqnII2ZOINSWNOGFThA","Ami Horowitz: How white liberals really view black voters","Ami on the Street: Are voter ID laws racist and suppress the black vote? Satirist Ami Horowtiz goes to UC Berkeley and Harlem to find out.","https://i.ytimg.com/vi/yW2LpFkVfYk/default.jpg","120","90","https://i.ytimg.com/vi/yW2LpFkVfYk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/yW2LpFkVfYk/hqdefault.jpg","480","360","Fox News","none"
"rQDzAGlf9og","2016-11-15T01:02:21.000Z","UCXIJgqnII2ZOINSWNOGFThA","Tucker to prof: Shouldn't students toughen up over election?","Tucker Carlson tries to get professor to explain her approach to students hysterical over Hillary Clinton's loss to Trump in the election, define 'safe spaces' and ...","https://i.ytimg.com/vi/rQDzAGlf9og/default.jpg","120","90","https://i.ytimg.com/vi/rQDzAGlf9og/mqdefault.jpg","320","180","https://i.ytimg.com/vi/rQDzAGlf9og/hqdefault.jpg","480","360","Fox News","none"
"kBuZaZapH7A","2018-07-06T01:56:22.000Z","UCXIJgqnII2ZOINSWNOGFThA","Gowdy to Schiff: GOP doesn't give a damn what you think","On 'Hannity,' the Republican sounds off on the Democrat calling him one of the 'four horsemen of this apocalypse.' FOX News Channel (FNC) is a 24-hour ...","https://i.ytimg.com/vi/kBuZaZapH7A/default.jpg","120","90","https://i.ytimg.com/vi/kBuZaZapH7A/mqdefault.jpg","320","180","https://i.ytimg.com/vi/kBuZaZapH7A/hqdefault.jpg","480","360","Fox News","none"
"Rbo0Lodbub0","2018-06-28T15:48:31.000Z","UCXIJgqnII2ZOINSWNOGFThA","Gowdy to Rosenstein on Russia probe: 'Finish it the hell up'","Republican lawmaker tells Deputy Attorney General Rod Rosenstein and FBI Director Christopher Wray that America is being 'torn apart' by the investigation ...","https://i.ytimg.com/vi/Rbo0Lodbub0/default.jpg","120","90","https://i.ytimg.com/vi/Rbo0Lodbub0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Rbo0Lodbub0/hqdefault.jpg","480","360","Fox News","none"
"dZfv9_Q3eUE","2018-06-15T03:35:28.000Z","UCXIJgqnII2ZOINSWNOGFThA","Roger Stone, Dinesh D'Souza react to DOJ IG's report","What does the inspector general's report reveal about overzealous prosecturos? Roger Stone and Dinesh D'Souza weigh in on 'The Ingraham Angle.","https://i.ytimg.com/vi/dZfv9_Q3eUE/default.jpg","120","90","https://i.ytimg.com/vi/dZfv9_Q3eUE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/dZfv9_Q3eUE/hqdefault.jpg","480","360","Fox News","none"
"I8F8rCJhVM4","2018-07-05T18:29:34.000Z","UCXIJgqnII2ZOINSWNOGFThA","Ethics complaint filed against Maxine Waters","Complaint accuses Democrat of 'inciting violence.' Judicial Watch president, Tom Fitton, says the House must hold Waters accountable. FOX News Channel ...","https://i.ytimg.com/vi/I8F8rCJhVM4/default.jpg","120","90","https://i.ytimg.com/vi/I8F8rCJhVM4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/I8F8rCJhVM4/hqdefault.jpg","480","360","Fox News","none"
"UABy9b-0ndw","2018-06-22T19:42:40.000Z","UCXIJgqnII2ZOINSWNOGFThA","DOJ hits deadline to comply with congressional subpoena","The Justice Department faces deadline to turn over all documents requested by congressional investigators; chief intelligence correspondent Catherine ...","https://i.ytimg.com/vi/UABy9b-0ndw/default.jpg","120","90","https://i.ytimg.com/vi/UABy9b-0ndw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/UABy9b-0ndw/hqdefault.jpg","480","360","Fox News","none"
