"date","title","video_id","viewCount","likeCount","dislikeCount","commentCount","source"
2016-01-05,"Inside the Brooklyn Home of Artist Mickalene Thomas","SMX60fh5u7o","29346","1304","7","27","Vogue"
2016-01-18,"Watch Irene Kim’s Japanese Hot Springs Adventure","r-shJpCflvQ","59103","1206","29","38","Vogue"
2016-01-19,"73 Questions With Derek Zoolander","H4q0K561WXs","2395735","34455","1817","1754","Vogue"
2016-01-22,"Watch Pop Star in the Making Zella Day Perform a Heartbreaking Ballad","wg19p1cDSRE","58920","2104","9","101","Vogue"
2016-02-02,"Cleaning House With Organizing Guru Marie Kondo","z3OXvQZe7g8","392529","4121","870","171","Vogue"
2016-02-11,"Here’s What It’s Like to Be Lucky Blue Smith During Fashion Week","LIKTr9vXRQI","141677","2853","52","131","Vogue"
2016-02-15,"Diane von Furstenberg Fall 2016 Ready-to-Wear | New York Fashion Week","45vuj7Mz4r4","36196","1240","11","42","Vogue"
2016-02-15,"Public School Fall 2016 Ready-to-Wear | New York Fashion Week","9JTeUgGnG_Q","11840","354","12","10","Vogue"
2016-02-17,"Oscar de la Renta Fall 2016 Ready-to-Wear | New York Fashion Week","Yg5cPR-k3OQ","17000","659","4","22","Vogue"
2016-02-19,"New York Fashion Week Fall 2016: Vogue’s Anna Wintour on All the Top Shows","BPBAM9bLY-Q","67233","1118","7","44","Vogue"
2016-02-22,"Watch the First Monday in May Trailer","MRFCVG85X_s","540195","5006","87","171","Vogue"
2016-02-26,"CL, Joey Bada$$ and a Posse of Models Show Off the Best Looks of NYFW | Hello Bitches MV | Vogue","nGB-a4p0eCU","1723788","51297","915","1103","Vogue"
2016-02-26,"Fendi Fall 2016 Ready-to-Wear | Milan Fashion Week","OQG9NkWEOGE","12319","376","3","12","Vogue"
2016-03-02,"Kendall Jenner, Gigi Hadid & Kim Kardashian West Do NYFW and McDonald's | Vogue","4A1oMb9XIVA","6917389","84767","2318","1896","Vogue"
2016-03-03,"Vogue’s Anna Wintour on Milan Fashion Week’s Fall 2016 Shows","7sDE0u6ybN0","32758","643","9","30","Vogue"
2016-03-05,"Irina Shayk, Taylor Hill, and More Have Legs for Days!","ScB6YTXGarA","127317","2288","49","80","Vogue"
2016-03-07,"Givenchy Fall 2016 Ready-to-Wear | Paris Fashion Week","yfIm_dajOCM","15680","375","7","23","Vogue"
2016-03-07,"Stella McCartney Fall 2016 Ready-to-Wear | Paris Fashion Week","hxvqj_MrUTE","18629","492","6","12","Vogue"
2016-03-11,"Yael Naïm Preforms “Trapped” Off Her Latest Album, Older","SyZLJx5kfFg","11315","476","1","20","Vogue"
2016-03-16,"SXSW Band Sunflower Bean Performs “Easier Said”","I5lne-pQRrY","69933","1465","22","62","Vogue"
2016-03-18,"Dsquared2 Fall 2016 Ready-to-Wear | Milan Fashion Week","nHCMYfRGotU","6477","173","10","10","Vogue"
2016-03-22,"How to Pack for a Journey to the Great Outdoors, Courtesy of Vogue’s Branded Content Director","ztlqPymE-3E","40095","1475","22","21","Vogue"
2016-03-23,"Kendall Jenner and Gigi Hadid's Sleepover Party | Vogue","OCCoM4yn1mU","4027160","57782","1015","894","Vogue"
2016-03-31,"Cameron Dallas Dances, Pranks, and Kisses His Way Through New York City","mWEMyZdczZc","106592","4864","302",NA,"Vogue"
2016-04-05,"7 Rules for Throwing the Perfect Cocktail Party With Southern Charm’s Patricia Altschul","Pk-BmuVbkWk","37841","477","17","27","Vogue"
2016-04-11,"Supermodels Reveal Their Denim Obsession","AO_G8ylF0m4","129191","1806","23","51","Vogue"
2016-04-15,"Inside Zayn Malik and Gigi Hadid’s First Photo Shoot as a Couple","TSRvY1kKebY","5424494","65691","2202","2254","Vogue"
2016-04-19,"73 Questions With Taylor Swift | Vogue","XnbCSboujF4","19200748","288941","14404","23599","Vogue"
2016-04-22,"Decoding French Gestures, With Aymeline Valade","FwzF9fhNt80","93510","1889","43","43","Vogue"
2016-04-29,"A History of the Met Gala in 60 Seconds","W96_Dd9bI5Y","264624","3963","120","102","Vogue"
2016-04-29,"Cami Morrone Makes the Ultimate Post-Workout Smoothie","LxCD5czIJCc","192665","4309","49","88","Vogue"
2016-05-02,"32 Best Boundary-Pushing Met Gala Beauty Looks","uOsabEIeikY","53471","825","92","45","Vogue"
2016-05-03,"Sarah Jessica Parker and Andy Cohen on Creativity | Met Gala 2016","E71dYZYXjsw","87273","843","10","35","Vogue"
2016-05-03,"Jaden and Willow Smith on How They Define Creativity | Met Gala 2016","Gk8fMD3eWck","647949","5538","228","437","Vogue"
2016-05-03,"Chloë Sevigny on Ogling Women at the Met Gala and Hating Selfies | Met Gala 2016","s5y3Kys3Ip4","45855","331","15","30","Vogue"
2016-05-03,"Lupita Nyong'o on Her Matrix and Nina Simone-Inspired Look | Met Gala 2016","GvAbp9_9piU","98837","875","15","69","Vogue"
2016-05-03,"Bella Hadid on How Long It Takes to Get Ready for the Met Gala | Met Gala 2016","0emuOcTgBQw","386253","3591","86","173","Vogue"
2016-05-03,"Kim Kardashian and Kanye West on Eating Reindeer | Met Gala 2016","yh53j7SLK1U","638900","4139","725","475","Vogue"
2016-05-03,"Gigi Hadid on Her Futuristic Bathing Suit and Chrome Knuckles | Met Gala 2016","DsMJLHjen7s","413586","3491","141","128","Vogue"
2016-05-03,"Kylie Jenner on Her First Met Gala | Met Gala 2016","tZCGrbM-YLM","450057","3927","312","310","Vogue"
2016-05-03,"Wiz Khalifa on Creativity: ""Being as Innocent as Possible"" | Met Gala 2016","DJw8_R3B_VQ","148584","709","21","85","Vogue"
